Reactant Fraction for N2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
0.785566,0.00122,775,4.50E-06,0.150135,0.00288,0.000190128,1.03E-05,2.35E-07
0.785001,0.00138,775,5.10E-06,0.150153,0.00326,0.000190539,9.99E-06,2.57E-07
0.784436,0.00154,775,5.70E-06,0.150171,0.00365,0.000190947,9.66E-06,2.78E-07
0.783872,0.0017,775,6.30E-06,0.150189,0.00403,0.000191339,9.34E-06,2.97E-07
0.783307,0.00186,775,6.90E-06,0.150207,0.00442,0.000191727,9.03E-06,3.15E-07
0.782742,0.00203,775,7.50E-06,0.150225,0.0048,0.000192101,8.74E-06,3.30E-07
0.782178,0.00219,775,8.10E-06,0.150243,0.00518,0.000192461,8.46E-06,3.44E-07
0.788914,0.000306,775,9.45E-05,0.150279,0.000207,0.000186308,1.36E-05,4.01E-08
0.788322,0.00051,775,0.000158,0.150465,0.000345,0.000187384,1.24E-05,7.40E-08
0.787732,0.000714,775,0.00022,0.150651,0.000483,0.000187722,1.20E-05,1.14E-07
0.78714,0.000918,775,0.000284,0.150837,0.000621,0.00018794,1.16E-05,1.58E-07
0.78655,0.001122,775,0.000346,0.151023,0.000759,0.000188154,1.13E-05,2.02E-07
0.785958,0.001326,775,0.00041,0.151209,0.000897,0.000188373,1.10E-05,2.45E-07
0.785368,0.00153,775,0.000472,0.151395,0.001035,0.000188595,1.07E-05,2.87E-07
0.784776,0.001734,775,0.000536,0.151581,0.001173,0.000188819,1.04E-05,3.27E-07
0.784186,0.001938,775,0.000598,0.151767,0.001311,0.000189044,1.01E-05,3.65E-07
0.783594,0.002142,775,0.000662,0.151953,0.001449,0.00018927,9.77E-06,4.02E-07
0.783004,0.002346,775,0.000724,0.152139,0.001587,0.000189496,9.48E-06,4.35E-07
0.782412,0.00255,775,0.000788,0.152325,0.001725,0.000189724,9.19E-06,4.67E-07
0.781822,0.002754,775,0.00085,0.152511,0.001863,0.000189955,8.91E-06,4.95E-07
0.7898,0,800,0,0.15,0,0.000199937,6.33E-08,0
0.7898,0,800,0,0.15,0,0.000199937,6.33E-08,0
0.789518,8.10E-05,800,3.00E-07,0.150009,0.000192,0.000190161,9.85E-06,3.04E-08
0.788953,0.000243,800,9.00E-07,0.150027,0.000576,0.000190454,9.61E-06,8.02E-08
0.788388,0.000405,800,1.50E-06,0.150045,0.00096,0.000190649,9.48E-06,1.31E-07
0.787824,0.000567,800,2.10E-06,0.150063,0.00134,0.000190922,9.28E-06,1.76E-07
0.787259,0.000729,800,2.70E-06,0.150081,0.00173,0.000191242,9.04E-06,2.16E-07
0.789504,0.000102,800,3.15E-05,0.150093,6.90E-05,0.000187819,1.21E-05,2.30E-08
0.786695,0.000891,800,3.30E-06,0.150099,0.00211,0.000191575,8.79E-06,2.48E-07
0.78613,0.00105,800,3.90E-06,0.150117,0.0025,0.000191918,8.53E-06,2.77E-07
0.785566,0.00122,800,4.50E-06,0.150135,0.00288,0.000192256,8.28E-06,3.01E-07
0.785001,0.00138,800,5.10E-06,0.150153,0.00326,0.000192589,8.03E-06,3.22E-07
0.784436,0.00154,800,5.70E-06,0.150171,0.00365,0.000192921,7.78E-06,3.41E-07
0.783872,0.0017,800,6.30E-06,0.150189,0.00403,0.000193241,7.55E-06,3.57E-07
0.783307,0.00186,800,6.90E-06,0.150207,0.00442,0.000193559,7.32E-06,3.72E-07
0.782742,0.00203,800,7.50E-06,0.150225,0.0048,0.000193868,7.09E-06,3.85E-07
0.782178,0.00219,800,8.10E-06,0.150243,0.00518,0.000194168,6.87E-06,3.97E-07
0.788914,0.000306,800,9.45E-05,0.150279,0.000207,0.000189764,1.01E-05,6.24E-08
0.788322,0.00051,800,0.000158,0.150465,0.000345,0.000190099,9.65E-06,1.13E-07
0.787732,0.000714,800,0.00022,0.150651,0.000483,0.000190198,9.45E-06,1.65E-07
0.78714,0.000918,800,0.000284,0.150837,0.000621,0.000190316,9.24E-06,2.14E-07
0.78655,0.001122,800,0.000346,0.151023,0.000759,0.000190459,9.01E-06,2.60E-07
0.785958,0.001326,800,0.00041,0.151209,0.000897,0.000190614,8.77E-06,3.02E-07
0.785368,0.00153,800,0.000472,0.151395,0.001035,0.000190779,8.54E-06,3.40E-07
0.784776,0.001734,800,0.000536,0.151581,0.001173,0.000190955,8.29E-06,3.76E-07
0.784186,0.001938,800,0.000598,0.151767,0.001311,0.000191139,8.06E-06,4.08E-07
0.783594,0.002142,800,0.000662,0.151953,0.001449,0.000191329,7.82E-06,4.37E-07
0.783004,0.002346,800,0.000724,0.152139,0.001587,0.000191527,7.59E-06,4.62E-07
0.782412,0.00255,800,0.000788,0.152325,0.001725,0.00019173,7.36E-06,4.85E-07
0.781822,0.002754,800,0.00085,0.152511,0.001863,0.00019194,7.14E-06,5.05E-07
0.7898,0,825,0,0.15,0,0.0001999,9.98E-08,0
0.7898,0,825,0,0.15,0,0.0001999,9.98E-08,0
0.789518,8.10E-05,825,3.00E-07,0.150009,0.000192,0.00019225,7.77E-06,4.46E-08
0.788953,0.000243,825,9.00E-07,0.150027,0.000576,0.000192331,7.75E-06,1.21E-07
0.788388,0.000405,825,1.50E-06,0.150045,0.00096,0.000192488,7.68E-06,1.89E-07
0.787824,0.000567,825,2.10E-06,0.150063,0.00134,0.00019273,7.53E-06,2.40E-07
0.787259,0.000729,825,2.70E-06,0.150081,0.00173,0.00019301,7.35E-06,2.81E-07
0.789504,0.000102,825,3.15E-05,0.150093,6.90E-05,0.000190607,9.33E-06,3.23E-08
0.786695,0.000891,825,3.30E-06,0.150099,0.00211,0.000193297,7.16E-06,3.12E-07
0.78613,0.00105,825,3.90E-06,0.150117,0.0025,0.000193591,6.96E-06,3.39E-07
0.785566,0.00122,825,4.50E-06,0.150135,0.00288,0.000193881,6.76E-06,3.60E-07
0.785001,0.00138,825,5.10E-06,0.150153,0.00326,0.000194167,6.57E-06,3.78E-07
0.784436,0.00154,825,5.70E-06,0.150171,0.00365,0.000194453,6.38E-06,3.93E-07
0.783872,0.0017,825,6.30E-06,0.150189,0.00403,0.000194731,6.19E-06,4.07E-07
0.783307,0.00186,825,6.90E-06,0.150207,0.00442,0.00019501,6.01E-06,4.18E-07
0.782742,0.00203,825,7.50E-06,0.150225,0.0048,0.000195282,5.82E-06,4.28E-07
0.782178,0.00219,825,8.10E-06,0.150243,0.00518,0.00019555,5.65E-06,4.36E-07
0.788914,0.000306,825,9.45E-05,0.150279,0.000207,0.000191951,7.89E-06,9.31E-08
0.788322,0.00051,825,0.000158,0.150465,0.000345,0.000191972,7.77E-06,1.58E-07
0.787732,0.000714,825,0.00022,0.150651,0.000483,0.000192025,7.64E-06,2.14E-07
0.78714,0.000918,825,0.000284,0.150837,0.000621,0.000192115,7.47E-06,2.63E-07
0.78655,0.001122,825,0.000346,0.151023,0.000759,0.000192234,7.29E-06,3.04E-07
0.785958,0.001326,825,0.00041,0.151209,0.000897,0.000192369,7.10E-06,3.41E-07
0.785368,0.00153,825,0.000472,0.151395,0.001035,0.00019252,6.91E-06,3.73E-07
0.784776,0.001734,825,0.000536,0.151581,0.001173,0.000192682,6.71E-06,4.01E-07
0.784186,0.001938,825,0.000598,0.151767,0.001311,0.000192856,6.52E-06,4.24E-07
0.783594,0.002142,825,0.000662,0.151953,0.001449,0.000193037,6.33E-06,4.45E-07
0.783004,0.002346,825,0.000724,0.152139,0.001587,0.000193229,6.14E-06,4.63E-07
0.782412,0.00255,825,0.000788,0.152325,0.001725,0.000193427,5.94E-06,4.78E-07
0.781822,0.002754,825,0.00085,0.152511,0.001863,0.000193632,5.75E-06,4.90E-07
0.7898,0,850,0,0.15,0,0.000199846,1.54E-07,0
0.7898,0,850,0,0.15,0,0.000199846,1.54E-07,0
0.789518,8.10E-05,850,3.00E-07,0.150009,0.000192,0.00019372,6.30E-06,6.30E-08
0.788953,0.000243,850,9.00E-07,0.150027,0.000576,0.000193691,6.42E-06,1.71E-07
0.788388,0.000405,850,1.50E-06,0.150045,0.00096,0.000193868,6.36E-06,2.49E-07
0.787824,0.000567,850,2.10E-06,0.150063,0.00134,0.00019411,6.23E-06,3.01E-07
0.787259,0.000729,850,2.70E-06,0.150081,0.00173,0.000194376,6.08E-06,3.39E-07
0.789504,0.000102,850,3.15E-05,0.150093,6.90E-05,0.000192787,7.15E-06,4.47E-08
0.786695,0.000891,850,3.30E-06,0.150099,0.00211,0.000194644,5.93E-06,3.67E-07
0.78613,0.00105,850,3.90E-06,0.150117,0.0025,0.000194915,5.76E-06,3.90E-07
0.785566,0.00122,850,4.50E-06,0.150135,0.00288,0.000195182,5.60E-06,4.06E-07
0.785001,0.00138,850,5.10E-06,0.150153,0.00326,0.000195445,5.44E-06,4.20E-07
0.784436,0.00154,850,5.70E-06,0.150171,0.00365,0.000195711,5.28E-06,4.32E-07
0.783872,0.0017,850,6.30E-06,0.150189,0.00403,0.00019597,5.12E-06,4.41E-07
0.783307,0.00186,850,6.90E-06,0.150207,0.00442,0.00019623,4.96E-06,4.48E-07
0.782742,0.00203,850,7.50E-06,0.150225,0.0048,0.000196487,4.81E-06,4.53E-07
0.782178,0.00219,850,8.10E-06,0.150243,0.00518,0.00019674,4.65E-06,4.57E-07
0.788914,0.000306,850,9.45E-05,0.150279,0.000207,0.000193385,6.46E-06,1.29E-07
0.788322,0.00051,850,0.000158,0.150465,0.000345,0.00019337,6.40E-06,2.01E-07
0.787732,0.000714,850,0.00022,0.150651,0.000483,0.000193433,6.28E-06,2.55E-07
0.78714,0.000918,850,0.000284,0.150837,0.000621,0.00019353,6.13E-06,3.00E-07
0.78655,0.001122,850,0.000346,0.151023,0.000759,0.000193654,5.97E-06,3.35E-07
0.785958,0.001326,850,0.00041,0.151209,0.000897,0.000193795,5.81E-06,3.64E-07
0.785368,0.00153,850,0.000472,0.151395,0.001035,0.000193952,5.65E-06,3.88E-07
0.784776,0.001734,850,0.000536,0.151581,0.001173,0.00019412,5.48E-06,4.08E-07
0.784186,0.001938,850,0.000598,0.151767,0.001311,0.000194299,5.31E-06,4.24E-07
0.783594,0.002142,850,0.000662,0.151953,0.001449,0.000194485,5.14E-06,4.38E-07
0.783004,0.002346,850,0.000724,0.152139,0.001587,0.00019468,4.97E-06,4.48E-07
0.782412,0.00255,850,0.000788,0.152325,0.001725,0.00019488,4.80E-06,4.57E-07
0.781822,0.002754,850,0.00085,0.152511,0.001863,0.000195086,4.63E-06,4.63E-07
0.7898,0,875,0,0.15,0,0.000199768,2.32E-07,0
0.7898,0,875,0,0.15,0,0.000199768,2.32E-07,0
0.789518,8.10E-05,875,3.00E-07,0.150009,0.000192,0.000194759,5.27E-06,8.60E-08
0.788953,0.000243,875,9.00E-07,0.150027,0.000576,0.000194737,5.42E-06,2.24E-07
0.788388,0.000405,875,1.50E-06,0.150045,0.00096,0.000194959,5.35E-06,3.04E-07
0.787824,0.000567,875,2.10E-06,0.150063,0.00134,0.00019522,5.24E-06,3.52E-07
0.787259,0.000729,875,2.70E-06,0.150081,0.00173,0.000195494,5.10E-06,3.85E-07
0.789504,0.000102,875,3.15E-05,0.150093,6.90E-05,0.000194345,5.59E-06,6.07E-08
0.786695,0.000891,875,3.30E-06,0.150099,0.00211,0.000195761,4.96E-06,4.07E-07
0.78613,0.00105,875,3.90E-06,0.150117,0.0025,0.000196031,4.82E-06,4.24E-07
0.785566,0.00122,875,4.50E-06,0.150135,0.00288,0.000196294,4.67E-06,4.35E-07
0.785001,0.00138,875,5.10E-06,0.150153,0.00326,0.000196554,4.53E-06,4.43E-07
0.784436,0.00154,875,5.70E-06,0.150171,0.00365,0.000196815,4.38E-06,4.49E-07
0.783872,0.0017,875,6.30E-06,0.150189,0.00403,0.000197071,4.24E-06,4.53E-07
0.783307,0.00186,875,6.90E-06,0.150207,0.00442,0.000197329,4.09E-06,4.55E-07
0.782742,0.00203,875,7.50E-06,0.150225,0.0048,0.000197582,3.95E-06,4.55E-07
0.782178,0.00219,875,8.10E-06,0.150243,0.00518,0.000197834,3.80E-06,4.54E-07
0.788914,0.000306,875,9.45E-05,0.150279,0.000207,0.000194451,5.41E-06,1.66E-07
0.788322,0.00051,875,0.000158,0.150465,0.000345,0.000194477,5.34E-06,2.38E-07
0.787732,0.000714,875,0.00022,0.150651,0.000483,0.000194572,5.22E-06,2.87E-07
0.78714,0.000918,875,0.000284,0.150837,0.000621,0.000194696,5.08E-06,3.24E-07
0.78655,0.001122,875,0.000346,0.151023,0.000759,0.000194843,4.93E-06,3.51E-07
0.785958,0.001326,875,0.00041,0.151209,0.000897,0.000195004,4.78E-06,3.73E-07
0.785368,0.00153,875,0.000472,0.151395,0.001035,0.000195177,4.62E-06,3.89E-07
0.784776,0.001734,875,0.000536,0.151581,0.001173,0.00019536,4.47E-06,4.02E-07
0.784186,0.001938,875,0.000598,0.151767,0.001311,0.000195551,4.31E-06,4.11E-07
0.783594,0.002142,875,0.000662,0.151953,0.001449,0.000195747,4.15E-06,4.18E-07
0.783004,0.002346,875,0.000724,0.152139,0.001587,0.000195949,3.99E-06,4.22E-07
0.782412,0.00255,875,0.000788,0.152325,0.001725,0.000196154,3.83E-06,4.25E-07
0.781822,0.002754,875,0.00085,0.152511,0.001863,0.000196361,3.68E-06,4.26E-07
0.7898,0,900,0,0.15,0,0.00019966,3.40E-07,0
0.7898,0,900,0,0.15,0,0.00019966,3.40E-07,0
0.789518,8.10E-05,900,3.00E-07,0.150009,0.000192,0.000195527,4.51E-06,1.13E-07
0.788953,0.000243,900,9.00E-07,0.150027,0.000576,0.000195592,4.64E-06,2.72E-07
0.788388,0.000405,900,1.50E-06,0.150045,0.00096,0.000195878,4.55E-06,3.46E-07
0.787824,0.000567,900,2.10E-06,0.150063,0.00134,0.000196177,4.43E-06,3.86E-07
0.787259,0.000729,900,2.70E-06,0.150081,0.00173,0.000196475,4.30E-06,4.11E-07
0.789504,0.000102,900,3.15E-05,0.150093,6.90E-05,0.000195383,4.56E-06,8.00E-08
0.786695,0.000891,900,3.30E-06,0.150099,0.00211,0.000196759,4.17E-06,4.25E-07
0.78613,0.00105,900,3.90E-06,0.150117,0.0025,0.000197042,4.03E-06,4.34E-07
0.785566,0.00122,900,4.50E-06,0.150135,0.00288,0.000197314,3.89E-06,4.38E-07
0.785001,0.00138,900,5.10E-06,0.150153,0.00326,0.000197582,3.75E-06,4.40E-07
0.784436,0.00154,900,5.70E-06,0.150171,0.00365,0.000197851,3.61E-06,4.40E-07
0.783872,0.0017,900,6.30E-06,0.150189,0.00403,0.000198112,3.47E-06,4.37E-07
0.783307,0.00186,900,6.90E-06,0.150207,0.00442,0.000198375,3.33E-06,4.33E-07
0.782742,0.00203,900,7.50E-06,0.150225,0.0048,0.000198631,3.19E-06,4.27E-07
0.782178,0.00219,900,8.10E-06,0.150243,0.00518,0.000198885,3.06E-06,4.20E-07
0.788914,0.000306,900,9.45E-05,0.150279,0.000207,0.000195316,4.58E-06,2.00E-07
0.788322,0.00051,900,0.000158,0.150465,0.000345,0.000195406,4.48E-06,2.66E-07
0.787732,0.000714,900,0.00022,0.150651,0.000483,0.000195548,4.35E-06,3.07E-07
0.78714,0.000918,900,0.000284,0.150837,0.000621,0.00019571,4.21E-06,3.35E-07
0.78655,0.001122,900,0.000346,0.151023,0.000759,0.000195888,4.06E-06,3.53E-07
0.785958,0.001326,900,0.00041,0.151209,0.000897,0.000196075,3.91E-06,3.67E-07
0.785368,0.00153,900,0.000472,0.151395,0.001035,0.00019627,3.75E-06,3.76E-07
0.784776,0.001734,900,0.000536,0.151581,0.001173,0.000196468,3.60E-06,3.81E-07
0.784186,0.001938,900,0.000598,0.151767,0.001311,0.000196671,3.45E-06,3.84E-07
0.783594,0.002142,900,0.000662,0.151953,0.001449,0.000196876,3.30E-06,3.85E-07
0.783004,0.002346,900,0.000724,0.152139,0.001587,0.000197082,3.15E-06,3.84E-07
0.782412,0.00255,900,0.000788,0.152325,0.001725,0.000197288,3.01E-06,3.81E-07
0.781822,0.002754,900,0.00085,0.152511,0.001863,0.000197493,2.87E-06,3.77E-07
0.7898,0,925,0,0.15,0,0.000199518,4.82E-07,0
0.7898,0,925,0,0.15,0,0.000199518,4.82E-07,0
0.789518,8.10E-05,925,3.00E-07,0.150009,0.000192,0.000196137,3.92E-06,1.41E-07
0.788953,0.000243,925,9.00E-07,0.150027,0.000576,0.000196342,3.99E-06,3.05E-07
0.788388,0.000405,925,1.50E-06,0.150045,0.00096,0.000196713,3.88E-06,3.67E-07
0.787824,0.000567,925,2.10E-06,0.150063,0.00134,0.000197064,3.75E-06,3.95E-07
0.787259,0.000729,925,2.70E-06,0.150081,0.00173,0.000197399,3.61E-06,4.09E-07
0.789504,0.000102,925,3.15E-05,0.150093,6.90E-05,0.000196096,3.85E-06,1.01E-07
0.786695,0.000891,925,3.30E-06,0.150099,0.00211,0.000197711,3.47E-06,4.14E-07
0.78613,0.00105,925,3.90E-06,0.150117,0.0025,0.000198016,3.33E-06,4.15E-07
0.785566,0.00122,925,4.50E-06,0.150135,0.00288,0.000198305,3.19E-06,4.11E-07
0.785001,0.00138,925,5.10E-06,0.150153,0.00326,0.000198586,3.05E-06,4.06E-07
0.784436,0.00154,925,5.70E-06,0.150171,0.00365,0.000198866,2.92E-06,3.99E-07
0.783872,0.0017,925,6.30E-06,0.150189,0.00403,0.000199134,2.79E-06,3.90E-07
0.783307,0.00186,925,6.90E-06,0.150207,0.00442,0.000199402,2.66E-06,3.80E-07
0.782742,0.00203,925,7.50E-06,0.150225,0.0048,0.00019966,2.53E-06,3.69E-07
0.782178,0.00219,925,8.10E-06,0.150243,0.00518,0.000199914,2.41E-06,3.57E-07
0.788914,0.000306,925,9.45E-05,0.150279,0.000207,0.000196066,3.89E-06,2.24E-07
0.788322,0.00051,925,0.000158,0.150465,0.000345,0.000196234,3.75E-06,2.80E-07
0.787732,0.000714,925,0.00022,0.150651,0.000483,0.000196431,3.60E-06,3.10E-07
0.78714,0.000918,925,0.000284,0.150837,0.000621,0.000196636,3.45E-06,3.28E-07
0.78655,0.001122,925,0.000346,0.151023,0.000759,0.000196846,3.30E-06,3.38E-07
0.785958,0.001326,925,0.00041,0.151209,0.000897,0.000197057,3.14E-06,3.43E-07
0.785368,0.00153,925,0.000472,0.151395,0.001035,0.000197269,3.00E-06,3.45E-07
0.784776,0.001734,925,0.000536,0.151581,0.001173,0.000197479,2.85E-06,3.44E-07
0.784186,0.001938,925,0.000598,0.151767,0.001311,0.000197687,2.71E-06,3.41E-07
0.783594,0.002142,925,0.000662,0.151953,0.001449,0.000197894,2.57E-06,3.36E-07
0.783004,0.002346,925,0.000724,0.152139,0.001587,0.000198096,2.44E-06,3.30E-07
0.782412,0.00255,925,0.000788,0.152325,0.001725,0.000198295,2.31E-06,3.23E-07
0.781822,0.002754,925,0.00085,0.152511,0.001863,0.000198489,2.19E-06,3.15E-07
0.7898,0,950,0,0.15,0,0.000199348,6.52E-07,0
0.7898,0,950,0,0.15,0,0.000199348,6.52E-07,0
0.789518,8.10E-05,950,3.00E-07,0.150009,0.000192,0.000196664,3.43E-06,1.65E-07
0.788953,0.000243,950,9.00E-07,0.150027,0.000576,0.000197049,3.43E-06,3.16E-07
0.788388,0.000405,950,1.50E-06,0.150045,0.00096,0.000197521,3.29E-06,3.59E-07
0.787824,0.000567,950,2.10E-06,0.150063,0.00134,0.000197937,3.14E-06,3.72E-07
0.787259,0.000729,950,2.70E-06,0.150081,0.00173,0.000198317,2.99E-06,3.74E-07
0.789504,0.000102,950,3.15E-05,0.150093,6.90E-05,0.00019666,3.30E-06,1.19E-07
0.786695,0.000891,950,3.30E-06,0.150099,0.00211,0.00019866,2.85E-06,3.70E-07
0.78613,0.00105,950,3.90E-06,0.150117,0.0025,0.000198989,2.71E-06,3.63E-07
0.785566,0.00122,950,4.50E-06,0.150135,0.00288,0.000199293,2.57E-06,3.52E-07
0.785001,0.00138,950,5.10E-06,0.150153,0.00326,0.000199586,2.44E-06,3.41E-07
0.784436,0.00154,950,5.70E-06,0.150171,0.00365,0.000199873,2.31E-06,3.28E-07
0.783872,0.0017,950,6.30E-06,0.150189,0.00403,0.000200144,2.20E-06,3.15E-07
0.783307,0.00186,950,6.90E-06,0.150207,0.00442,0.000200412,2.08E-06,3.00E-07
0.782742,0.00203,950,7.50E-06,0.150225,0.0048,0.000200666,1.97E-06,2.85E-07
0.782178,0.00219,950,8.10E-06,0.150243,0.00518,0.000200914,1.87E-06,2.70E-07
0.788914,0.000306,950,9.45E-05,0.150279,0.000207,0.000196758,3.27E-06,2.33E-07
0.788322,0.00051,950,0.000158,0.150465,0.000345,0.00019701,3.11E-06,2.74E-07
0.787732,0.000714,950,0.00022,0.150651,0.000483,0.000197263,2.94E-06,2.92E-07
0.78714,0.000918,950,0.000284,0.150837,0.000621,0.000197506,2.78E-06,3.00E-07
0.78655,0.001122,950,0.000346,0.151023,0.000759,0.00019774,2.63E-06,3.01E-07
0.785958,0.001326,950,0.00041,0.151209,0.000897,0.000197967,2.48E-06,2.99E-07
0.785368,0.00153,950,0.000472,0.151395,0.001035,0.000198185,2.34E-06,2.95E-07
0.784776,0.001734,950,0.000536,0.151581,0.001173,0.000198396,2.21E-06,2.88E-07
0.784186,0.001938,950,0.000598,0.151767,0.001311,0.0001986,2.09E-06,2.80E-07
0.783594,0.002142,950,0.000662,0.151953,0.001449,0.000198796,1.97E-06,2.71E-07
0.783004,0.002346,950,0.000724,0.152139,0.001587,0.000198985,1.87E-06,2.61E-07
0.782412,0.00255,950,0.000788,0.152325,0.001725,0.000199167,1.77E-06,2.51E-07
0.781822,0.002754,950,0.00085,0.152511,0.001863,0.000199343,1.67E-06,2.39E-07
0.7898,0,975,0,0.15,0,0.000199171,8.29E-07,0
0.7898,0,975,0,0.15,0,0.000199171,8.29E-07,0
0.789518,8.10E-05,975,3.00E-07,0.150009,0.000192,0.000197151,2.99E-06,1.78E-07
0.788953,0.000243,975,9.00E-07,0.150027,0.000576,0.000197753,2.92E-06,2.97E-07
0.788388,0.000405,975,1.50E-06,0.150045,0.00096,0.00019834,2.75E-06,3.18E-07
0.787824,0.000567,975,2.10E-06,0.150063,0.00134,0.000198822,2.58E-06,3.17E-07
0.787259,0.000729,975,2.70E-06,0.150081,0.00173,0.000199248,2.43E-06,3.09E-07
0.789504,0.000102,975,3.15E-05,0.150093,6.90E-05,0.000197161,2.83E-06,1.29E-07
0.786695,0.000891,975,3.30E-06,0.150099,0.00211,0.000199619,2.29E-06,2.98E-07
0.78613,0.00105,975,3.90E-06,0.150117,0.0025,0.000199966,2.16E-06,2.84E-07
0.785566,0.00122,975,4.50E-06,0.150135,0.00288,0.000200279,2.03E-06,2.69E-07
0.785001,0.00138,975,5.10E-06,0.150153,0.00326,0.000200577,1.92E-06,2.54E-07
0.784436,0.00154,975,5.70E-06,0.150171,0.00365,0.000200864,1.81E-06,2.39E-07
0.783872,0.0017,975,6.30E-06,0.150189,0.00403,0.000201133,1.72E-06,2.24E-07
0.783307,0.00186,975,6.90E-06,0.150207,0.00442,0.000201395,1.63E-06,2.08E-07
0.782742,0.00203,975,7.50E-06,0.150225,0.0048,0.00020164,1.54E-06,1.93E-07
0.782178,0.00219,975,8.10E-06,0.150243,0.00518,0.000201879,1.47E-06,1.78E-07
0.788914,0.000306,975,9.45E-05,0.150279,0.000207,0.00019742,2.72E-06,2.21E-07
0.788322,0.00051,975,0.000158,0.150465,0.000345,0.000197754,2.52E-06,2.45E-07
0.787732,0.000714,975,0.00022,0.150651,0.000483,0.000198052,2.35E-06,2.51E-07
0.78714,0.000918,975,0.000284,0.150837,0.000621,0.000198321,2.19E-06,2.50E-07
0.78655,0.001122,975,0.000346,0.151023,0.000759,0.000198567,2.05E-06,2.45E-07
0.785958,0.001326,975,0.00041,0.151209,0.000897,0.000198796,1.92E-06,2.37E-07
0.785368,0.00153,975,0.000472,0.151395,0.001035,0.000199009,1.81E-06,2.28E-07
0.784776,0.001734,975,0.000536,0.151581,0.001173,0.00019921,1.70E-06,2.17E-07
0.784186,0.001938,975,0.000598,0.151767,0.001311,0.000199398,1.61E-06,2.06E-07
0.783594,0.002142,975,0.000662,0.151953,0.001449,0.000199578,1.52E-06,1.95E-07
0.783004,0.002346,975,0.000724,0.152139,0.001587,0.000199748,1.45E-06,1.84E-07
0.782412,0.00255,975,0.000788,0.152325,0.001725,0.000199911,1.38E-06,1.72E-07
0.781822,0.002754,975,0.00085,0.152511,0.001863,0.000200066,1.31E-06,1.60E-07
0.7898,0,1000,0,0.15,0,0.000199034,9.66E-07,0
0.7898,0,1000,0,0.15,0,0.000199034,9.66E-07,0
0.789518,8.10E-05,1000,3.00E-07,0.150009,0.000192,0.000197623,2.59E-06,1.75E-07
0.788953,0.000243,1000,9.00E-07,0.150027,0.000576,0.000198471,2.45E-06,2.50E-07
0.788388,0.000405,1000,1.50E-06,0.150045,0.00096,0.000199177,2.26E-06,2.51E-07
0.787824,0.000567,1000,2.10E-06,0.150063,0.00134,0.000199723,2.09E-06,2.40E-07
0.787259,0.000729,1000,2.70E-06,0.150081,0.00173,0.000200186,1.94E-06,2.26E-07
0.789504,0.000102,1000,3.15E-05,0.150093,6.90E-05,0.000197631,2.40E-06,1.27E-07
0.786695,0.000891,1000,3.30E-06,0.150099,0.00211,0.000200578,1.82E-06,2.10E-07
0.78613,0.00105,1000,3.90E-06,0.150117,0.0025,0.000200938,1.70E-06,1.95E-07
0.785566,0.00122,1000,4.50E-06,0.150135,0.00288,0.000201252,1.60E-06,1.79E-07
0.785001,0.00138,1000,5.10E-06,0.150153,0.00326,0.000201549,1.51E-06,1.65E-07
0.784436,0.00154,1000,5.70E-06,0.150171,0.00365,0.000201834,1.43E-06,1.51E-07
0.783872,0.0017,1000,6.30E-06,0.150189,0.00403,0.000202096,1.36E-06,1.37E-07
0.783307,0.00186,1000,6.90E-06,0.150207,0.00442,0.000202353,1.29E-06,1.25E-07
0.782742,0.00203,1000,7.50E-06,0.150225,0.0048,0.000202589,1.23E-06,1.12E-07
0.782178,0.00219,1000,8.10E-06,0.150243,0.00518,0.000202821,1.18E-06,1.01E-07
0.788914,0.000306,1000,9.45E-05,0.150279,0.000207,0.000198057,2.21E-06,1.88E-07
0.788322,0.00051,1000,0.000158,0.150465,0.000345,0.000198461,2.01E-06,1.96E-07
0.787732,0.000714,1000,0.00022,0.150651,0.000483,0.000198789,1.85E-06,1.93E-07
0.78714,0.000918,1000,0.000284,0.150837,0.000621,0.000199069,1.72E-06,1.85E-07
0.78655,0.001122,1000,0.000346,0.151023,0.000759,0.000199314,1.60E-06,1.75E-07
0.785958,0.001326,1000,0.00041,0.151209,0.000897,0.000199535,1.50E-06,1.65E-07
0.785368,0.00153,1000,0.000472,0.151395,0.001035,0.000199736,1.41E-06,1.54E-07
0.784776,0.001734,1000,0.000536,0.151581,0.001173,0.000199922,1.34E-06,1.43E-07
0.784186,0.001938,1000,0.000598,0.151767,0.001311,0.000200095,1.27E-06,1.32E-07
0.783594,0.002142,1000,0.000662,0.151953,0.001449,0.000200258,1.22E-06,1.22E-07
0.783004,0.002346,1000,0.000724,0.152139,0.001587,0.000200413,1.17E-06,1.12E-07
0.782412,0.00255,1000,0.000788,0.152325,0.001725,0.000200562,1.12E-06,1.02E-07
0.781822,0.002754,1000,0.00085,0.152511,0.001863,0.000200704,1.08E-06,9.27E-08
